0,1,2,3,4
500.0043055367512,497.8283378506302,493.345720410697,498.1145748645368,499.8861740326907
494.58499362655033,499.3392625612724,495.8448191525245,498.3789054726667,498.93711864072344
499.91549735446523,492.8763486927102,499.3825787693298,496.9971523298821,492.5500153536225
505.04597504432917,497.8087441509793,500.0278568471472,504.9254526984479,501.5917445704892
498.45599179033235,498.0275001232637,498.40533822268605,494.0896494690625,499.13968925016326
501.42284987821483,507.0880634540804,500.28369029643943,504.6674594753595,502.8189197643033
499.9742459979806,499.78529572058363,498.05663224582725,499.1179769340644,501.77340556479487
500.3835802879936,497.89448311756786,501.1168095809029,506.83287830290374,497.0061861565859
499.7061060376339,502.9912373836407,497.2724110518876,503.79662942853747,499.3306760862817
500.73638228590374,498.6570469162372,498.6599649793163,498.12349611919916,497.72515331819545
502.05686264902215,499.86234551356443,497.39853788131353,495.7575152002465,496.36375693164996
504.86893357256736,504.8504370706614,496.07366630470574,497.4014816448881,499.16953398486413
492.7365435273104,500.3208988744059,501.61158668350794,494.69987914208133,501.3202259108752
499.63826304460423,499.8037321793579,502.0323512331401,503.1405650085817,505.9525557245351
499.4425644299389,502.7527700343368,501.7261212390126,502.3640787287909,507.8350768623488
497.0979763376361,501.7455049516821,502.45181926963755,499.1818962562861,502.3950144335153
497.40515721645863,500.07907592896964,501.04077841980006,506.93173272009614,498.4767478444418
496.10180899289776,505.21607880176686,498.97352047499095,501.0919991096496,493.07919514159545
501.3722366818594,495.76038860772263,499.86524921213277,499.8963955086687,493.7911095680621
497.19234817693376,502.6850202130487,500.38338289057333,500.5389586594271,500.4216489648045
500.63923418127854,505.4171497132824,500.1251728593892,498.40012646083204,499.6608846682133
501.24262626308257,500.74839497311945,505.9515404248735,499.7274505566194,496.8103327575398
499.67349031657153,498.5985662887758,503.35698623364345,492.23657487627037,492.85395366530446
501.9907215802864,506.0929949633345,508.5416164406063,503.02628399666304,506.53913710660464
505.14757232255545,492.5121834062698,497.6191304718913,498.1058199994315,499.3673744094482
496.20516066749116,497.26426352585014,506.2252173744834,497.8555552622146,499.4249398864541
496.44598101782844,492.341507645568,499.4840873021561,503.9782327359112,493.90469943235496
499.1334769982236,500.7933085071047,504.13775893314084,503.1894129921569,491.39818503387
498.4199683786586,502.6976914199373,502.5258278903775,501.46450659396544,504.311445478943
499.8858009584397,494.4355620951554,501.0054390006629,509.45797763992346,503.0901838127183
498.2845503403941,503.1941398626298,495.1990417039984,501.4529395689239,503.34939804780396
502.4783570768623,492.2903081018169,504.2311483695927,497.3676608881466,502.46712072020114
498.4534569549129,502.6127269877745,509.27781658679663,500.7794365948445,496.7001903138247
497.9790100618053,497.00157057837544,505.75601470218953,504.1169413427248,497.78953039035946
499.6804266664302,499.5995467310096,505.5620905560276,498.40126470592196,499.76141419850643
495.9298180842267,502.8748985794884,502.63443854259907,494.0811612063293,497.5088494429687
496.3778029571511,500.4685666139469,499.2511965765189,498.1451445987563,502.11953524456607
499.10689988635943,497.07951353890525,493.93948769193565,497.68702288171136,497.2294799812582
501.19904139909727,496.7748421534341,502.2689100269184,499.1707124932169,504.16659875222604
499.41026256964824,506.3044182515978,496.1411026406104,503.1392631188569,497.46535276015953
