campaign,tool,lot,wafer,depth_nm,nonuniformity_pct,cd_error_nm,particle_defect,good,pressure_mtorr,reflected_power_w,flow_sccm,endpoint_s,vibration_mm_s,cycle_s,wear_index,truth_age,truth_fault
7,ETCH-01,0,0,497.7947622639743,1.5018101561305621,-0.263575576916548,False,True,35.14001930553951,10.025578555781092,50.08653838401317,118.27501800308609,0.5296952207984933,165.0,1.2,0.0,none
7,ETCH-01,0,1,503.63492154033185,1.264418127591994,0.27165252842599574,False,True,34.920117483241874,9.573145092315587,49.495726673343526,119.44572986806301,0.6784399812410249,165.0,1.2,0.0,none
7,ETCH-01,0,2,502.5272929465676,1.142023070888218,0.10932759554838965,False,True,35.036722657792524,8.999751297484138,49.87649524464897,120.19278187490548,0.3959126259477081,165.0,1.2,0.0,none
7,ETCH-01,0,3,492.8938350278753,1.285410929098445,0.041096447881957314,False,True,34.76696866362001,6.65132906925381,49.98801891336516,120.24048866045024,0.526890902822475,165.0,1.2,0.0,none
7,ETCH-01,0,4,499.3055895897981,1.4540191850308493,0.4000519037900189,False,True,34.71823069435556,10.053850350334097,50.06761841835073,121.53314000743647,0.2776460508853181,165.0,1.2,0.0,none
7,ETCH-01,1,0,503.11551616069744,1.5142408224962614,0.2407092768150285,False,True,34.91625587661092,9.036763053378193,50.350538283761786,120.1288088832621,0.6770408087710187,165.0,1.2,0.020251541294833076,none
7,ETCH-01,1,1,496.2264976110716,1.464143034617747,-0.7312214218709344,False,True,34.9545591757152,12.336499615486115,50.351394818447986,121.86185125314222,0.5450141954913851,165.0,1.2,0.020251541294833076,none
7,ETCH-01,1,2,497.019287367579,1.0700182404451755,-0.1811713997413439,False,True,34.93061775149335,7.011958651714638,49.85343520795312,120.76278164605198,0.4101181642873491,165.0,1.2,0.020251541294833076,none
7,ETCH-01,1,3,497.1036291048471,1.2167829578236788,0.04694085990251297,False,True,35.17895954834432,18.198931703354138,49.96021026807889,118.62029469726166,0.5141781118494956,165.0,1.2,0.020251541294833076,none
7,ETCH-01,1,4,498.52411203366677,1.1334810653293037,-0.06120847075658427,False,True,34.67779816971175,5.630306609760136,49.9554005691904,119.43682411410369,0.4368829338881206,165.0,1.2,0.020251541294833076,none
7,ETCH-01,2,0,500.44831477584836,1.307962720739486,-0.622903469170704,False,True,34.90039887816095,12.523269413321753,49.723128897591764,120.38610506410761,0.47324539824019574,165.0,1.2,0.03712701873883813,none
7,ETCH-01,2,1,499.4797821720972,1.4515307128284323,1.1229928636992836,False,True,34.952083770302316,5.733680863570966,50.08107683811156,119.79334628949425,0.5648234905111057,165.0,1.2,0.03712701873883813,none
7,ETCH-01,2,2,501.2705610682252,1.2939910341231782,0.45165594523770775,False,True,35.04869659878825,7.293434335274894,49.52323580237035,120.34279500311355,0.6359344870354505,165.0,1.2,0.03712701873883813,none
7,ETCH-01,2,3,499.5008595657919,1.3898460724129005,0.3285840399349961,False,True,35.062468085329506,7.755520285796532,50.15387272963673,120.58138913658621,0.5044633624543361,165.0,1.2,0.03712701873883813,none
7,ETCH-01,2,4,497.37560510108017,1.3712069891458099,-0.12452557009071265,False,True,35.22877033365564,11.714517505385565,49.744636897628105,118.90719344419657,0.46910845431917264,165.0,1.2,0.03712701873883813,none
7,ETCH-01,3,0,498.8854337424741,1.3640216566769898,-0.23571546434150353,False,True,34.97123603807082,8.430473677558096,50.0465395205549,118.74441615526376,0.5562654444082188,165.0,1.2,0.04986248453749423,none
7,ETCH-01,3,1,495.7841767702528,1.3863936958282517,0.22914440383017998,False,True,34.96525438276043,9.858804548081357,49.79316529301091,120.06973434388807,0.5443139383155146,165.0,1.2,0.04986248453749423,none
7,ETCH-01,3,2,500.2789049218283,1.2216561372242611,-0.0033442608617690467,False,True,35.107279843244974,14.428741468665237,49.99277239157065,121.64370293131165,0.6600993832516927,165.0,1.2,0.04986248453749423,none
7,ETCH-01,3,3,499.61072105316765,1.524534000360181,0.37046070084489774,False,True,34.8735695974409,9.080653298089347,50.14129657918676,120.09977006403726,0.6887273345273769,165.0,1.2,0.04986248453749423,none
7,ETCH-01,3,4,505.0235738187202,1.1111244680952481,0.3243443282847729,False,True,35.03355946596864,4.1040753712198255,49.93386164390189,118.93718837604405,0.4799185126274553,165.0,1.2,0.04986248453749423,none
7,ETCH-01,4,0,497.4683776032391,1.3981590772056036,-0.555918291749593,False,True,34.882321013011975,12.432529783369592,50.21959797706926,120.44562940232404,0.5682704634210087,165.0,1.2,0.07087191371503698,none
7,ETCH-01,4,1,489.7370151966838,1.4897180929589449,0.2134756577976317,False,True,35.03581486313442,14.138236996598113,50.031408484104766,120.67619291746901,0.619609021160179,165.0,1.2,0.07087191371503698,none
7,ETCH-01,4,2,495.34867947703594,1.5514219814224635,1.1224071134978233,False,True,34.94808485267192,9.11828290821354,49.726137648365146,120.24585546672225,0.4629113357760446,165.0,1.2,0.07087191371503698,none
7,ETCH-01,4,3,493.57022088646227,1.1940690370776788,-0.06782988766465364,False,True,34.87972849496852,9.563292254111513,49.8622879435161,120.29193135371405,0.5221940427509377,165.0,1.2,0.07087191371503698,none
7,ETCH-01,4,4,500.3097203062723,1.3847747167692157,0.5053429065907429,False,True,35.04790788123359,8.398572600021993,49.60112111358225,120.22016971011026,0.6386919297074569,165.0,1.2,0.07087191371503698,none
7,ETCH-01,5,0,499.4644069552705,1.3620051004748568,0.3331805402222498,False,True,35.059250721794186,9.384432162533551,50.1479638768365,120.12438954496638,0.5656943532787992,165.0,1.2,0.09241395993828548,none
7,ETCH-01,5,1,494.63503460274916,1.478171960409609,0.8098265233927846,False,True,34.79188085316901,8.29851704801374,50.32553290313173,120.37615268707455,0.5262082556224712,165.0,1.2,0.09241395993828548,none
7,ETCH-01,5,2,496.496041324514,1.4466353918987542,0.9140736702902005,False,True,35.0611611400558,12.036417750589838,49.484349570098324,121.61768250922665,0.45658601364236717,165.0,1.2,0.09241395993828548,none
7,ETCH-01,5,3,497.1035622488328,1.3646672797867265,0.692576315284955,False,True,35.19561089511512,11.13011180156975,50.07158556686977,120.31823773990237,0.6699284877634097,165.0,1.2,0.09241395993828548,none
7,ETCH-01,5,4,500.8658043131746,1.3664272004833458,-0.1981557471486676,False,True,34.968106819622314,7.048039978498205,50.069807192215045,122.20049663589721,0.6683075071567535,165.0,1.2,0.09241395993828548,none
7,ETCH-01,6,0,502.74123963349234,1.5252269412490165,0.9804734805462294,False,True,34.83137953443091,7.639507912446965,49.98842782814328,120.74397122917074,0.5763977143097493,165.0,1.2,0.10911099938131086,none
