campaign,tool,lot,episode,lots_since_clean,pressure_mtorr,reflected_power_w,flow_sccm,endpoint_s,vibration_mm_s,failure_after_lot
7,ETCH-01,0,0,0,34.916411760909895,9.060730873033744,49.902879526744314,119.93743168278824,0.48171695633900385,False
7,ETCH-01,1,0,1,34.93163810437511,10.442891926738643,50.09419582948644,120.16211211876433,0.5166468428574739,False
7,ETCH-01,2,0,2,35.03848353324733,9.004084480669942,49.845190233067704,120.00216578749965,0.5295150385120522,False
7,ETCH-01,3,0,3,34.990179865497154,9.180549672722773,49.98152708564502,119.89896237410896,0.5858649226260517,False
7,ETCH-01,4,0,4,34.95877142100409,10.73018290846295,49.88811063332751,120.37595577006792,0.5623353585631254,False
7,ETCH-01,5,0,5,35.01520208595129,9.579503748241017,50.019847821830275,120.92739182341343,0.5773449234927602,False
7,ETCH-01,6,0,6,35.03949302157176,10.22244500746119,50.208915036595855,120.04401186999746,0.5970412695779699,False
7,ETCH-01,7,0,7,35.03397304225415,13.447463004150205,49.99325723041851,121.34606715831208,0.6189193648763353,False
7,ETCH-01,8,0,8,35.02664832753271,11.430552935951562,50.01995822970955,120.50035470167632,0.6287625518165945,False
7,ETCH-01,9,0,9,34.93663845973395,12.561073552260577,50.01628081376183,121.13135948641381,0.7375963323749336,False
7,ETCH-01,10,0,10,35.136867956645276,13.440221434373967,50.06310219563183,120.91252499935993,0.8368428848302848,False
7,ETCH-01,11,0,11,35.04987158504341,13.041346121636096,50.12035935136638,120.65593217955703,0.6063393153330565,False
7,ETCH-01,12,0,12,35.06666328736775,15.71297110903281,49.779829737129425,121.23537667525393,0.622310590584009,False
7,ETCH-01,13,0,13,35.01275331339791,14.547540504938258,50.097532960402006,121.24603477005527,0.7786061528026773,False
7,ETCH-01,14,0,14,34.79334788328471,15.246128163088889,50.05298351865143,121.20564186238468,0.7968127155866653,False
7,ETCH-01,15,0,15,34.94838378494287,14.107472668329825,50.019107271135724,121.0211326151453,0.7484209690684719,False
7,ETCH-01,16,0,16,34.99465067961888,18.00908443039851,49.8612425949161,121.51042505153589,0.8573749438454621,False
7,ETCH-01,17,0,17,34.97864687922385,18.45687607126279,49.89957382751224,121.48239839649766,0.7496469980362682,False
7,ETCH-01,18,0,18,35.01822161389739,18.652866789873478,50.03842814624064,122.04000791677205,0.8958340323599234,False
7,ETCH-01,19,0,19,34.89122477581061,18.773244412960985,49.896798096521216,122.62224569927119,0.9057569664670735,False
7,ETCH-01,20,0,20,35.018808266818056,19.26032567753571,49.86324880284497,121.26171635457813,0.8736420912112605,False
7,ETCH-01,21,0,21,34.911819534281506,20.98226530341966,49.9631889362957,121.83209904980109,0.9607831822887203,False
7,ETCH-01,22,0,22,35.0199077057164,21.3786295001278,49.91943103977261,122.20216097659961,1.0045479314281542,False
7,ETCH-01,23,0,23,34.83983888979853,20.09612888979798,50.06305298772436,122.98102185946698,0.9521040898040976,False
7,ETCH-01,24,0,24,34.957177629062,20.126581204543463,49.97267146857897,123.45142450597564,1.0554760362135984,False
7,ETCH-01,25,0,25,35.03959638114984,24.196400903866447,49.9839320151492,123.0472603548983,1.0349621698124754,False
7,ETCH-01,26,0,26,35.139211917485135,23.07111343435502,49.886991203577715,123.1072238061065,1.0915722419693226,False
7,ETCH-01,27,0,27,34.936687782171745,25.807306392033002,49.86486164727592,122.95692294968455,1.2056268741224678,False
7,ETCH-01,28,0,28,35.027414546434485,23.069052759029724,50.14939780775869,123.39579964449725,1.1542970538149109,False
7,ETCH-01,29,0,29,35.00180250854239,22.76255006795407,49.93904897100453,122.80409094865085,1.1090911932516963,False
7,ETCH-01,30,0,30,34.929199049133594,26.883044857729477,49.9342560456155,123.78354880825009,1.134248546348129,False
7,ETCH-01,31,0,31,35.028499099478736,24.970721452034606,50.1339501922479,123.21290441079418,1.065260769408718,False
7,ETCH-01,32,0,32,34.98380478333824,27.665131763053004,50.07054147777303,123.27116297596606,1.1930797702491078,False
7,ETCH-01,33,0,33,35.02436515975335,26.544269642778993,49.65783733673035,123.93277250852603,1.3016957782234995,False
7,ETCH-01,34,0,34,35.003813357890465,24.383724110564696,50.015185238693185,123.38727812170558,1.2693244416932543,False
