tool,depth_nm
ETCH-01,500.0043055367512
ETCH-01,497.8283378506302
ETCH-01,493.345720410697
ETCH-01,498.1145748645368
ETCH-01,499.8861740326907
ETCH-01,494.58499362655033
ETCH-01,499.3392625612724
ETCH-01,495.8448191525245
ETCH-01,498.3789054726667
ETCH-01,498.93711864072344
ETCH-01,499.91549735446523
ETCH-01,492.8763486927102
ETCH-01,499.3825787693298
ETCH-01,496.9971523298821
ETCH-01,492.5500153536225
ETCH-01,505.04597504432917
ETCH-01,497.8087441509793
ETCH-01,500.0278568471472
ETCH-01,504.9254526984479
ETCH-01,501.5917445704892
ETCH-01,498.45599179033235
ETCH-01,498.0275001232637
ETCH-01,498.40533822268605
ETCH-01,494.0896494690625
ETCH-01,499.13968925016326
ETCH-01,501.42284987821483
ETCH-01,507.0880634540804
ETCH-01,500.28369029643943
ETCH-01,504.6674594753595
ETCH-01,502.8189197643033
ETCH-01,499.9742459979806
ETCH-01,499.78529572058363
ETCH-01,498.05663224582725
ETCH-01,499.1179769340644
ETCH-01,501.77340556479487
ETCH-01,500.3835802879936
ETCH-01,497.89448311756786
ETCH-01,501.1168095809029
ETCH-01,506.83287830290374
ETCH-01,497.0061861565859
ETCH-01,499.7061060376339
ETCH-01,502.9912373836407
ETCH-01,497.2724110518876
ETCH-01,503.79662942853747
ETCH-01,499.3306760862817
ETCH-01,500.73638228590374
ETCH-01,498.6570469162372
ETCH-01,498.6599649793163
ETCH-01,498.12349611919916
ETCH-01,497.72515331819545
ETCH-01,502.05686264902215
ETCH-01,499.86234551356443
ETCH-01,497.39853788131353
ETCH-01,495.7575152002465
ETCH-01,496.36375693164996
ETCH-01,504.86893357256736
ETCH-01,504.8504370706614
ETCH-01,496.07366630470574
ETCH-01,497.4014816448881
ETCH-01,499.16953398486413
ETCH-02,480.17551402967604
ETCH-02,487.7598693767715
ETCH-02,489.0505571858736
ETCH-02,482.13884964444696
ETCH-02,488.75919641324083
ETCH-02,487.07723354696986
ETCH-02,487.24270268172353
ETCH-02,489.47132173550574
ETCH-02,490.5795355109473
ETCH-02,493.39152622690074
ETCH-02,486.88153493230453
ETCH-02,490.1917405367024
