seed,method,evaluation,loss,best_loss,power_w,pressure_mtorr,flow_sccm,temperature_c,time_s
7,bayesian,1,2.8896049604416922,2.8896049604416922,750.0,35.0,50.0,40.0,120.0
7,bayesian,2,669.1490755932157,2.8896049604416922,697.993348603551,20.379339663811216,47.97630612945491,40.0,91.25140107132063
7,bayesian,3,2.3782971991663335,2.3782971991663335,798.1172228499181,24.596195141468836,60.136354079313094,40.0,116.05102071529458
7,bayesian,4,106.06427452996695,2.3782971991663335,939.805216493835,36.66477108235206,54.72953283468921,40.0,121.12551853547856
7,bayesian,5,4.744359190858009,2.3782971991663335,590.1799886626243,26.62201424235874,63.200193467514765,40.0,139.0772789662268
7,bayesian,6,169.1523778621884,2.3782971991663335,901.387652070576,40.51936389842646,49.74357178077136,40.0,131.69240594427032
7,bayesian,7,256.66250193461906,2.3782971991663335,588.5727888490561,45.45533353918589,72.9020728860362,40.0,153.57982558765002
7,bayesian,8,49.03030875506757,2.3782971991663335,844.8309498203596,33.45764706020146,41.26406954072923,40.0,137.26739554580868
7,bayesian,9,75.14881487493706,2.3782971991663335,669.5282389782998,43.42279356804407,67.38585545603172,40.0,102.59575293209103
7,bayesian,10,316.00011584406235,2.3782971991663335,775.2185475759118,49.98879727384377,30.764785215892147,40.0,109.91877243256992
7,bayesian,11,108.2274258366884,2.3782971991663335,750.1447964697812,27.304326657772236,63.63551753606761,40.0,135.76615409798504
7,bayesian,12,2.2850455864927546,2.2850455864927546,827.4056257310976,29.779389520060633,60.91584002543945,40.0,111.10786282846672
7,bayesian,13,16.898725639930333,2.2850455864927546,858.9097200139306,25.265441076468242,55.97426920671586,40.0,122.75516676234457
7,bayesian,14,5.837964352669737,2.2850455864927546,560.290979325752,27.824858422448777,50.48486470491311,40.0,141.0520589042478
7,bayesian,15,19.95945178391136,2.2850455864927546,676.5333406066519,33.035514945112155,42.473134680586625,40.0,148.61290933383415
7,bayesian,16,25.588445002280668,2.2850455864927546,905.2754188599262,21.392600257302686,69.68011482614777,40.0,117.47844995264234
7,bayesian,17,39.0123692955963,2.2850455864927546,578.2248809465312,26.173039481621984,52.35085305347891,40.0,159.3874014215625
7,bayesian,18,2.5245160591290445,2.2850455864927546,569.288686676192,33.480934822502576,56.62773329968279,40.0,135.85418572484207
7,bayesian,19,6.0978852009840105,2.2850455864927546,765.452105386416,25.30768024262352,34.50885328833032,40.0,151.38442155235884
7,bayesian,20,143.0436514571563,2.2850455864927546,906.875539490816,20.5632305148404,37.425191401459514,40.0,158.05042922945378
7,bayesian,21,141.03895725565263,2.2850455864927546,586.7072016133474,21.64164611122645,31.024485454748365,40.0,150.7236490090328
7,bayesian,22,8.378958013411006,2.2850455864927546,742.1829405449308,29.389545010716155,31.908633938839394,40.0,141.46988367592587
7,bayesian,23,3.034948907709897,2.2850455864927546,762.0925338480738,29.592338168377495,43.21653520043665,40.0,132.58281121770526
7,bayesian,24,3.507649233704546,2.2850455864927546,680.1405024455122,32.46754332692063,48.502465042741605,40.0,134.73216578104115
7,bayesian,25,3.0726306942103996,2.2850455864927546,849.8363470857666,27.153006875493784,71.15638714934549,40.0,108.01522336304626
7,bayesian,26,51.35190372642678,2.2850455864927546,939.8055724534723,42.34939224774187,73.44388723908008,40.0,105.93451484695383
7,bayesian,27,30.937406095143643,2.2850455864927546,833.1591351845402,27.73452625484447,65.89474487111102,40.0,119.42774866320595
7,bayesian,28,41.13197990410188,2.2850455864927546,855.2990906788956,37.020189524794226,72.88405072085895,40.0,90.98574079235696
7,bayesian,29,4.697686736321761,2.2850455864927546,948.8028875251471,30.951295954855325,65.62057341682527,40.0,102.52506530073808
7,bayesian,30,48.57469261858515,2.2850455864927546,946.6779932648412,23.141489189669606,63.57816296752461,40.0,95.53194576698932
7,random,1,2.8896049604416922,2.8896049604416922,750.0,35.0,50.0,40.0,120.0
7,random,2,669.1490755932157,2.8896049604416922,697.993348603551,20.379339663811216,47.97630612945491,40.0,91.25140107132063
7,random,3,2.3782971991663335,2.3782971991663335,798.1172228499181,24.596195141468836,60.136354079313094,40.0,116.05102071529458
7,random,4,106.06427452996695,2.3782971991663335,939.805216493835,36.66477108235206,54.72953283468921,40.0,121.12551853547856
7,random,5,4.744359190858009,2.3782971991663335,590.1799886626243,26.62201424235874,63.200193467514765,40.0,139.0772789662268
7,random,6,169.1523778621884,2.3782971991663335,901.387652070576,40.51936389842646,49.74357178077136,40.0,131.69240594427032
7,random,7,256.66250193461906,2.3782971991663335,588.5727888490561,45.45533353918589,72.9020728860362,40.0,153.57982558765002
7,random,8,49.03030875506757,2.3782971991663335,844.8309498203596,33.45764706020146,41.26406954072923,40.0,137.26739554580868
7,random,9,75.14881487493706,2.3782971991663335,669.5282389782998,43.42279356804407,67.38585545603172,40.0,102.59575293209103
7,random,10,316.00011584406235,2.3782971991663335,775.2185475759118,49.98879727384377,30.764785215892147,40.0,109.91877243256992
7,random,11,233.972305738788,2.3782971991663335,809.4143677601031,34.33065707965592,52.623182186366094,40.0,141.43487197581803
7,random,12,176.5992039587002,2.3782971991663335,746.4693117460677,22.295988836031896,48.702153460267986,40.0,159.2704033691985
7,random,13,399.24484267093663,2.3782971991663335,616.8827196577339,44.497332238295314,40.32088389020764,40.0,105.46877129826174
7,random,14,49.87964600157367,2.3782971991663335,566.6084592928078,23.217894810006307,62.100339583045425,40.0,158.41195236151145
7,random,15,2.4266538222458327,2.3782971991663335,661.9932444215187,29.44533029070147,34.52721109381227,40.0,154.41909227770657
7,random,16,119.26409513721825,2.3782971991663335,665.7313776456841,47.80010643373254,53.6011683043268,40.0,106.91406008092775
7,random,17,15.27070698155741,2.3782971991663335,838.8413201713215,46.60300978212481,69.72694388295807,40.0,97.63983555768165
7,random,18,136.8677712098354,2.3782971991663335,666.60476591968,37.28606014818136,35.76951641567037,40.0,121.57788409824403
